Name,Country_Code,Matches,Innings_Batted,Not_outs,Runs,Highest_innings_scored,Dissmissal_in_Highest_Innnings,Batting_Average,Balls_Faced,Strike_Rate,Hundreds_Scored,Fifties,Zeroes,Fours,Sixes
Rahmanullah Gurbaz,Afghanistan,8,8,0,281,80,Out,35.12,226,124.33,0,3,2,18,16
RG Sharma,India,8,8,1,257,92,Out,36.71,164,156.7,0,3,0,24,15
TM Head,Australia,7,7,1,255,76,Out,42.5,161,158.38,0,2,1,26,15
Q de Kock,South Africa,9,9,0,243,74,Out,27,173,140.46,0,2,1,21,13
Ibrahim Zadran,Afghanistan,8,8,0,231,70,Out,28.87,215,107.44,0,2,1,25,4
N Pooran,West Indies,7,7,1,228,98,Out,38,156,146.15,0,1,0,15,17
AGS Gous,United States of America,6,6,1,219,80,Not Out,43.8,145,151.03,0,2,0,20,11
JC Buttler,England,8,7,2,214,83,Not Out,42.8,135,158.51,0,1,1,22,10
SA Yadav,India,8,8,1,199,53,Out,28.42,147,135.37,0,2,0,15,10
H Klaasen,South Africa,9,8,2,190,52,Out,31.66,150,126.66,0,1,0,9,13
PD Salt,England,8,7,2,188,87,Not Out,37.6,118,159.32,0,1,0,16,10
DA Warner,Australia,7,7,1,178,56,Out,29.66,128,139.06,0,2,0,17,9
RR Pant,India,8,8,1,171,42,Out,24.42,134,127.61,0,0,1,19,6
MP Stoinis,Australia,7,5,1,169,67,Not Out,42.25,103,164.07,0,2,0,14,10
DA Miller,South Africa,9,8,2,169,59,Not Out,28.16,165,102.42,0,1,1,10,8
T Stubbs,South Africa,9,8,3,165,33,Out,33,163,101.22,0,0,1,13,3
Aaron Jones,United States of America,6,6,2,162,94,Not Out,40.5,120,135,0,1,1,8,14
Towhid Hridoy,Bangladesh,7,7,0,153,40,Out,21.85,119,128.57,0,0,0,9,8
V Kohli,India,8,8,0,151,76,Out,18.87,134,112.68,0,1,2,8,7
HC Brook,England,8,4,2,145,53,Out,72.5,92,157.6,0,1,0,16,2
HH Pandya,India,8,6,3,144,50,Not Out,48,95,151.57,0,1,0,11,9
B McMullen,Scotland,4,3,1,140,61,Not Out,70,82,170.73,0,2,0,13,8
J Charles,West Indies,6,6,0,140,44,Out,23.33,123,113.82,0,0,2,18,3
Litton Das,Bangladesh,7,7,1,139,54,Not Out,23.16,149,93.28,0,1,0,12,3
S Dube,India,8,8,2,133,34,Out,22.16,116,114.65,0,0,1,6,7
GJ Maxwell,Australia,7,6,1,132,59,Out,26.4,93,141.93,0,1,1,12,7
MR Marsh,Australia,7,7,1,125,37,Out,20.83,107,116.82,0,0,0,13,5
HG Munsey,Scotland,4,4,1,124,41,Not Out,41.33,89,139.32,0,0,0,8,9
AK Markram,South Africa,9,9,1,123,46,Out,15.37,122,100.81,0,0,1,14,2
Babar Azam,Pakistan,4,4,1,122,44,Out,40.66,120,101.66,0,0,0,8,3
SE Rutherford,West Indies,7,6,3,121,68,Not Out,40.33,82,147.56,0,1,1,5,9
RR Hendricks,South Africa,9,9,1,113,43,Out,14.12,129,87.59,0,0,2,11,3
Najmul Hossain Shanto,Bangladesh,7,7,0,112,41,Out,16,117,95.72,0,0,0,7,5
Shakib Al Hasan,Bangladesh,7,7,1,111,64,Not Out,18.5,104,106.73,0,1,1,12,1
Azmatullah Omarzai,Afghanistan,8,8,0,111,26,Out,13.87,102,108.82,0,0,0,7,4
Mohammad Rizwan,Pakistan,4,4,1,110,53,Not Out,36.66,121,90.9,0,1,0,5,3
JM Bairstow,England,8,6,2,110,48,Not Out,27.5,82,134.14,0,0,1,11,4
SD Hope,West Indies,3,3,1,107,82,Not Out,53.5,57,187.71,0,1,1,4,10
RD Berrington,Scotland,4,3,2,102,47,Not Out,102,73,139.72,0,0,0,4,5
MG Erasmus,Namibia,4,4,1,102,52,Out,34,93,109.67,0,1,0,10,3
R Powell,West Indies,7,6,0,102,36,Out,17,71,143.66,0,0,0,4,8
NR Kirton,Canada,3,3,0,101,51,Out,33.66,72,140.27,0,1,0,6,4
NR Kumar,United States of America,6,5,1,99,30,Out,24.75,86,115.11,0,0,0,6,4
SA Engelbrecht,Netherlands,4,4,0,98,40,Out,24.5,92,106.52,0,0,0,6,3
Mahmudullah,Bangladesh,7,7,1,95,25,Out,15.83,101,94.05,0,0,0,8,3
RL Chase,West Indies,6,3,1,94,52,Out,47,72,130.55,0,1,1,7,4
Ayaan Khan,Oman,4,4,1,93,41,Not Out,31,95,97.89,0,0,0,6,3
AR Patel,India,8,5,1,92,47,Out,23,66,139.39,0,0,0,5,6
Gulbadin Naib,Afghanistan,8,8,1,90,49,Not Out,12.85,86,104.65,0,0,2,9,3
A Johnson,Canada,3,3,0,89,52,Out,29.66,73,121.91,0,1,0,12,4
MA Jones,Scotland,4,4,1,89,45,Not Out,29.66,66,134.84,0,0,0,8,5
BA King,West Indies,5,5,1,86,34,Out,21.5,68,126.47,0,0,0,13,2
MP O'Dowd,Netherlands,4,4,1,79,54,Not Out,26.33,78,101.28,0,1,0,7,2
AD Russell,West Indies,7,6,3,78,30,Not Out,26,47,165.95,0,0,0,8,4
Tanzid Hasan,Bangladesh,7,7,0,76,35,Out,10.85,79,96.2,0,0,3,11,1
BKG Mendis,Sri Lanka,3,3,0,75,46,Out,25,67,111.94,0,0,0,8,0
